stars,comment
1.0 out of 5 stars,slow defective
5.0 out of 5 stars,phone amazing mean 'm coming old 2015 samsung a5 yeah phone obviously amazing compared beware use cause reason restrain functions unlocked phones like wifi calling stuff t-mobile problem 'm considering switch t-mobile 's way 'm returning phone reason
4.0 out of 5 stars,bought phone absolutely love phone crazy fast smooth screen world really lightweight problems ultrasonic fingerprint reader sometimes seems slow n't even work apart highly recommend
5.0 out of 5 stars,phone sm-g973u1.it qualcomm snapdragon 855 processor.appearance one best looking mobile phones.the camera function powerful.it pity scratch bottom left screen.prime day got price 599 .it awesome
5.0 out of 5 stars,love samsung s10e camera excellent phone works advertised also pleased seller endlessitems17 phone delivered time great condition needed components
5.0 out of 5 stars,previously s7 s10 excellent upgrade seen dramatic increase battery life s10 nice fast scrolling screens menus buttery smooth glad able get phone prime day love
5.0 out of 5 stars,best galaxy ever smaller love hate big a** cellphone pocket one perfect awesome camera dont ever miss 4 cameras s10+ mobile packs punch complain battery life get charging case
5.0 out of 5 stars,s10 phone truly impressive face recognition works well processor remarkably fast run 1 app time without causing lagging camera next level incredible
5.0 out of 5 stars,deal discriminating eye phone new blems scuffs scratches nothing perfect product able get deal hard find color well deal good bought 2 price 1 new recommended seller
5.0 out of 5 stars,bought galaxy s10e mom tracfone bought byo phone sim kit registered sim tracfone website switched numbers new sim everything transfered within 15 minutes everything worked well update review 30 days see phone worked phone work tracfone confirm
5.0 out of 5 stars,galaxy s10 plus great like everything love changing features settings show personal preferences thing recommend make sure get us version countries check model number phone box take extra caution 3rd party dealers
5.0 out of 5 stars,purchased two phones much cheaper listed brick mortar stores first time purchase cell phones line transferred files pleasantly surprised easy able set cell phone existing service
3.0 out of 5 stars,phone advertised sm-g973u snapdragon however received exynos version sm-g973f
5.0 out of 5 stars,best phone amazing screen super fast processor.games run smooth delays compared samsung chip glad imported via amazon
1.0 out of 5 stars,sta desbloqueado
5.0 out of 5 stars,n't tried facial recognition love phone however pretty easily impressed coming s6
5.0 out of 5 stars,amazing phone glad bought fantastic price packaging expected headphones original ones came phone everything else seems fantastic
5.0 out of 5 stars,'s great phone love tremendous prompts samsung one camera fingerprint battery display great coming s7 earlier camera blow away especially good lighting battery lasts day depending use
5.0 out of 5 stars,samsung phones given
5.0 out of 5 stars,far excellent phone camera amazing lots space
5.0 out of 5 stars,s10 plus great phone samsung 've loved everything far sometimes fingerprint reader would bit slower oneplus 7 pro n't bad save model would s10 great buy well
5.0 out of 5 stars,great deal 600
5.0 out of 5 stars,far outstanding
1.0 out of 5 stars,phone shuts randomly time middle using 've two whole months longer get replaced
5.0 out of 5 stars,love phone always samsung phones battery life never lasted one day died camera amazing
4.0 out of 5 stars,works fine straight talk
5.0 out of 5 stars,'m impressed devise fluent excellent bayberry life perfect screen customization awesome best decision ever made 'm happy
5.0 out of 5 stars,overall excellent verified proper operation fingerprint reader since update
5.0 out of 5 stars,love still much n't know phone find new stuff everyday
5.0 out of 5 stars,never experienced bright adaptive resolution display supports 4k hdr video without lag excellent phone got excellent deal amazon prime day thank amazon
2.0 out of 5 stars,takes phone recognize fingerprints face recognition sometimes battery lasts long time phone runs hot sometimes phone small
1.0 out of 5 stars,exynos version beware battery drain half day
4.0 out of 5 stars,like design much camera quality particularly wide lens awesome n't know email notification shown automatically need check issue
5.0 out of 5 stars,paying brand new phone looks like return nice shape however brand new even screen protector already screen put
4.0 out of 5 stars,definitely us version 's unlocked thankfully currently using
5.0 out of 5 stars,es un equipo genial la huella dactilar es tan buena
5.0 out of 5 stars,us version chipset snapdragon 855box sealbrandnewim happy purchaserecomendedim happy
1.0 out of 5 stars,wrong product model number listed
2.0 out of 5 stars,product arrived opened tampered phone dirty along accessories phone seemed issues box returned
3.0 out of 5 stars,call recording option available feel disappointed secondly time people try call ca n't get
1.0 out of 5 stars,terrible sound call
4.0 out of 5 stars,good overall performance terms processing camera battery life bad fingerprint sensor also face recognition fully reliable
5.0 out of 5 stars,product received exactly defined perfection love phone really easy set
5.0 out of 5 stars,looks feels great
5.0 out of 5 stars,love everything new phones half price complaints
