stars,comment
3.0 out of 5 stars,"I mistakenly thought the phone was the US version but it is the international model of the phone.  No Snapdragon processor.  Sending it back after getting it on Prime Day for $599.  I would not have purchased it had I known.  Seller needs to make this MORE clear in my opinion.
            "
5.0 out of 5 stars,"This is the top of the line phone as far as I am concerned. Top notch cellphone in every respect. You will need to get this powerhouse of a smartphone in a case fast as it is quite slippery .
            "
5.0 out of 5 stars,"Great so far. Had to get an update for bluetooth before it would work. So if you get it, try not to get frustrated. Just keep checking for updates if something doesn't work just right
            "
5.0 out of 5 stars,"My dad is very excited about his new phone.For the past few days he is updating and learning the new phone.My dad is 78 and he said it is very easy to use.
            "
2.0 out of 5 stars,"Cannot use the fingerprint reader even with adjustment, the battery life is far worse than the galaxy 7 edge I had and i am using it fsr less. Additionally the speaker is of poor quality and voice to text does not function  most of the times or inaccurate when it does. So disappointed .
            "
5.0 out of 5 stars,"I've never purchased a factory unlocked phone before, so I was SUPER nervous. It arrived ahead of schedule (BONUS) and works perfectly. I use Verizon pre-paid and it was an easy upgrade on my account and worked right out the gate...couldn't be happier!
            "
5.0 out of 5 stars,"Took a few days to get used to the controls but it is a very nice and 3asy to use phone. Great pictures and very versitile. Saved $500 buying it one prime days over buyi g it from either the carrier or Best Buys. Thank you Amazon.
            "
5.0 out of 5 stars,"This is a really good product. First I got the empty  box, then replaced it with new one. No complaints  about that now. But s10+ is really cool, it's factory unlocked.  Works with all networks.
            "
5.0 out of 5 stars,"The face recognition, I never use. And the face recognition, I never ever used. So I can't comment on either one. But battery life is ok with me, and the performance.
            "
1.0 out of 5 stars,"Bought this Samsung Galaxy S10e new from Chubbietech. The description and pics stated new factory unlocked phone. The 2 that I recieved both had sprint SIM cards in them and are locked from sprint. They advised I return the phone because it can not he used with any other carrier at this time.I have requested a fix for the issue at hand. I will update my review if this is resolved rather quickly.
            "
5.0 out of 5 stars,"It is super fast. Love it has 8GB of ram.It is very similar size as the s9+.
            "
4.0 out of 5 stars,"Love this phone. Runs software extremely well. Light weight. Finger print reader takes some getting used to but very good overall. Battery drains quickly without use which is a little concerning.
            "
1.0 out of 5 stars,"Not compatible with my Verizon network. I will be returning.
            "
1.0 out of 5 stars,"Item had scratches on screen. Phone wouldnt make or tecieve calls. Sent back.
            "
5.0 out of 5 stars,"Love it, performs great, very speedy and responsive. Screen protectors and cases lack options in my opinion. This is my first phone with a curved edge and it only makes screen protectors even more difficult to manage..
            "
5.0 out of 5 stars,"The phone is terrific with all the extras from the S8 galaxy phone.
            "
5.0 out of 5 stars,"Struggling a bit with Finger print reader. Phone performance and specs are amazing.
            "
5.0 out of 5 stars,"I bought it 1 month ago and I am in love with it. I really recommend it to any android user.  Such a good deal
            "
3.0 out of 5 stars,"Update: Was an issue at the store, was able to activate with current sim.Went to activate phone at Verizon Wireless corporate store, was told by Verizon that based on the SKU this phone is NOT supported on their network.However, this SKU is not listed on Samsung's website in any fashion at all which is somewhat concerning
            "
5.0 out of 5 stars,"So far so good. I like the design, speed and performance. The camera seems pretty high end too. My only disappointment so far is that the AT&T visual voicemail will not work on this model. I will need to find a good substitute for that app and maybe AT&T too now that I own a phone that is good with any carrier.
            "
5.0 out of 5 stars,"This phone is amazingly worth everything. I have no complaints. Battery life is unbelievable. I charge it at night when I go to bed. Wake up 7am out all day without having to charge it by the time I get home around 9pm it's only on 40, 30%, that's with my bluetooth on 24/7. Its a beautiful feel in ur hands. I have no complaints it's worth every dime. Love it and love IT!
            "
2.0 out of 5 stars,"Just buy s9 plus... they are almost the same ...
            "
5.0 out of 5 stars,"So far I love it! Still learning a thing or two. Love the newer features, more storage and  longer battery life. Got a great deal on Amazon too!
            "
4.0 out of 5 stars,"This samsungs with exynos9820 chips
            "
5.0 out of 5 stars,"I just got this phone yesterday and so far it is an amazing phone! Great performance and beautiful screen! Upgraded from a Galaxy S8 and so far I'd say that it a really good upgrade! The fingerprint sensor in the screen is great and works well.
            "
1.0 out of 5 stars,"Slow and defective
            "
5.0 out of 5 stars,"The phone is amazing, i mean, i'm coming from an old 2015 samsung A5 so yeah, the phone is obviously amazing compared to that. But beware if you use AT&T cause, for some reason, AT&T restrain some functions for unlocked phones, like wifi calling and other stuff. T-mobile has no problem with that and i'm considering to switch to T-mobile, but there's no way i'm returning this phone for that reason.
            "
4.0 out of 5 stars,"Bought this phone for myself, and i am absolutely in love with this phone. Crazy fast and smooth, screen is out of this world and it is really lightweight too! Had a few problems with the ultrasonic fingerprint reader, as sometimes it seems to be slow or doesn't even work at all. But apart from that, highly recommend it.
            "
5.0 out of 5 stars,"This phone is SM-G973U1.It has Qualcomm Snapdragon 855 processor.Appearance is one of the best looking mobile phones.The camera function is very powerful.It is a pity that there is  a scratch on the bottom left of the screen.Prime Day I  got it with the price 599$.It is awesome.
            "
5.0 out of 5 stars,"I love the Samsung S10E! The camera is excellent and the phone works as advertised.  I am also very pleased with the seller Endlessitems17. The phone was delivered on time and in great condition with all needed components.
            "
5.0 out of 5 stars,"Previously had the S7 and this S10 was an excellent upgrade to it. I have seen a dramatic increase in battery life with the S10. It is nice and fast. Scrolling through screens and menus is buttery smooth. I am so glad I was able to get in on this phone during Prime Day. I love it.
            "
5.0 out of 5 stars,"Best galaxy ever. It is smaller and I love that. I hate having a big a** cellphone on the pocket, so this one is perfect. Awesome camera, you dont ever miss the 4 cameras of the s10+. This mobile packs a punch. The only complain is the battery life, so get a charging case.
            "
5.0 out of 5 stars,"This S10 phone is truly impressive. The face recognition works well. The processor is remarkably fast. Can run more than 1 app at a time without causing any lagging. The camera is next level incredible.
            "
5.0 out of 5 stars,"What a deal! To my discriminating eye, this phone is new, no blems, scuffs, scratches, nothing but a perfect product! I was able to get this deal in a very hard to find color as well! The deal was so good that i bought 2 for the price of 1 new. Recommended seller!
            "
5.0 out of 5 stars,"Bought the Galaxy S10E for my Mom, who has Tracfone. Bought the BYO Phone Sim Kit, registered the SIM on Tracfone website,  switched numbers to the new SIM, everything transfered over within 15 minutes. Everything worked well. Will update my review after 30 days to see how phone worked. But this phone will work if you have Tracfone, I can confirm this!
            "
5.0 out of 5 stars,"Galaxy S10 plus is great.  I like everything about it.  I love changing the features and settings to show my personal preferences.  The only thing I recommend is to make sure you get an US version and not some other countries.  Check the model number on the phone and not just on the box. Take extra caution with 3rd party dealers.
            "
5.0 out of 5 stars,"Purchased two of these phones for much cheaper than listed at brick and mortar  stores.  First time I purchase cell phones on line. Transferred files myself. Pleasantly surprised with how easy I was able to set up  this cell phone with my existing service.
            "
3.0 out of 5 stars,"This phone is being advertised as the SM-G973U (Snapdragon) however i received the  Exynos version SM-G973F.
            "
5.0 out of 5 stars,"The best phone. Amazing screen. Super fast processor.games run very smooth. No delays as compared to Samsung chip. Glad I imported via amazon.
            "
1.0 out of 5 stars,"no sta desbloqueado
            "
5.0 out of 5 stars,"Haven't tried facial recognition but love the phone. However pretty easily impressed coming from an S6
            "
5.0 out of 5 stars,"This is an amazing phone. I am glad I bought it and at a fantastic price. The packaging was not what I expected. And the headphones were not the original  ones that came with the phone but everything else seems to be fantastic.
            "
5.0 out of 5 stars,"It's a great phone. I love it. Tremendous prompts to Samsung on this one! Camera, Fingerprint, Battery, and Display are great. From those coming from an s7 or earlier, this camera will blow you away (especially in good lighting). The battery lasts me all day, depending on use.
            "
5.0 out of 5 stars,"Samsung phones are a given for me
            "
5.0 out of 5 stars,"So far excellent phone. camera is amazing. Lots of space
            "
5.0 out of 5 stars,"The S10 plus is a great phone from Samsung. I've loved everything about it so far. Sometimes the fingerprint reader would be a bit slower than my OnePlus 7 Pro, but it wasn't bad at all. If you can save for this model I would. But if not the S10 is a great buy as well.
            "
5.0 out of 5 stars,"Great deal for only $600!
            "
5.0 out of 5 stars,"So far outstanding  !!!
            "
1.0 out of 5 stars,"This phone shuts off randomly all the time in the middle of me using it. Because I've had it for two whole months I can no longer get it replaced.
            "
5.0 out of 5 stars,"I  love this phone. I have always had Samsung phones the battery life never lasted but this one I am on it all day and it has not died on me once.  The camera is amazing.
            "
4.0 out of 5 stars,"This works fine with straight talk
            "
5.0 out of 5 stars,"I'm impressed with this devise, very fluent, excellent bayberry life, perfect screen and the customization is awesome, the best decision I have ever made, I'm very happy with it.
            "
5.0 out of 5 stars,"Overall, excellent.  Have not verified proper operation of fingerprint reader, since the update.
            "
5.0 out of 5 stars,"I love it there is still so much I don't know about this phone but I find out new stuff everyday
            "
5.0 out of 5 stars,"I have never experienced such a bright and adaptive resolution display. It supports 4K HDR video without any lag. Excellent phone and I got it at an excellent deal: Amazon Prime Day. Thank you amazon.
            "
2.0 out of 5 stars,"It takes a while for phone to recognize fingerprints and face recognition  sometimes. Battery lasts a long time. Phone runs hot sometimes. Phone is very small.
            "
1.0 out of 5 stars,"Exynos version, beware, battery will drain in half a day
            "
4.0 out of 5 stars,"I like the design very much. Camera quality particularly the wide lens is awesome. But I don't know why the email notification is not shown automatically. I need to check this issue
            "
5.0 out of 5 stars,"For paying for a brand new phone, it looks like it was a return.  It is in nice shape, however, not brand new. It even has a screen protector already on the screen! I did not put it there.
            "
4.0 out of 5 stars,"Its definitely the US version but it's not unlocked. Thankfully I was currently using At&t
            "
5.0 out of 5 stars,"Es un equipo  genial, la huella dactilar no es tan buena
            "
5.0 out of 5 stars,"Us Version with chipset snapdragon 855Box with sealBrandnewIm happy with purchaseRECOMENDEDIM HAPPY
            "
1.0 out of 5 stars,"wrong product,not the same model number as listed
            "
2.0 out of 5 stars,"product arrived opened & tampered with. phone was dirty along with accessories. phone seemed to have a few issues out of the box. will be returned.
            "
3.0 out of 5 stars,"The call recording option is not available, I feel disappointed with that . Secondly most of the time people try to call but can't get to me.
            "
1.0 out of 5 stars,"Terrible sound when on a call.
            "
4.0 out of 5 stars,"Good overall performance in terms of processing,  camera, battery life but bad fingerprint sensor. Also, face recognition is not fully reliable.
            "
5.0 out of 5 stars,"Product received was exactly as defined. Perfection! I love the phone and it was really easy to set up!
            "
5.0 out of 5 stars,"Looks and feels great
            "
5.0 out of 5 stars,"I love it! It does everything the new phones do but for half the price. I have no complaints! :)
            "
